band,mean,sem,size
0-1,-0.6791449374356893,0.04438148538821224,644
1-2,-0.4863777725926315,0.03672395017095017,741
2-3,-0.3928139264677543,0.0353267102595665,717
3-5,-0.2381342194234944,0.025193122370083677,1247
5-10,0.019985968032609578,0.01686099233480899,1980
10+,0.34165177182589396,0.01815820995895715,948
