target,variable,scheme,n_bins,n,n_pos,auc,pr_auc,auc_loss_vs_raw,spearman_vs_raw
y_ad_next,sbp_avg,quantile,20.0,25259,814,0.509,0.0333,-0.0088,0.9987
y_ad_next,sbp_avg,quantile,50.0,25259,814,0.5083,0.0348,-0.0082,0.9998
y_imp_next,cogn_global,raw_continuous,,24723,1490,0.8843,0.3931,0.0,1.0
y_imp_next,cogn_global,equal_width,4.0,24723,1490,0.8009,0.2707,0.0834,0.8291
y_imp_next,cogn_global,equal_width,5.0,24723,1490,0.8453,0.2822,0.039,0.8523
y_imp_next,cogn_global,equal_width,6.0,24723,1490,0.8511,0.3142,0.0332,0.9068
y_imp_next,cogn_global,equal_width,8.0,24723,1490,0.8668,0.3283,0.0175,0.9435
y_imp_next,cogn_global,equal_width,10.0,24723,1490,0.8713,0.3477,0.0131,0.9634
y_imp_next,cogn_global,equal_width,20.0,24723,1490,0.8791,0.3717,0.0053,0.9905
y_imp_next,cogn_global,equal_width,50.0,24723,1490,0.8813,0.3838,0.0031,0.9985
y_imp_next,cogn_global,quantile,4.0,24723,1490,0.8368,0.1867,0.0475,0.9682
y_imp_next,cogn_global,quantile,5.0,24723,1490,0.8477,0.2076,0.0366,0.9798
y_imp_next,cogn_global,quantile,6.0,24723,1490,0.8591,0.2285,0.0253,0.986
y_imp_next,cogn_global,quantile,8.0,24723,1490,0.8666,0.2525,0.0177,0.9922
y_imp_next,cogn_global,quantile,10.0,24723,1490,0.8722,0.2732,0.0121,0.995
y_imp_next,cogn_global,quantile,20.0,24723,1490,0.8805,0.3285,0.0038,0.9987
y_imp_next,cogn_global,quantile,50.0,24723,1490,0.8799,0.3616,0.0044,0.9998
y_imp_next,cts_estmmse30,raw_continuous,,24742,1494,0.8379,0.2687,0.0,1.0
y_imp_next,cts_estmmse30,equal_width,4.0,24742,1494,0.8194,0.2356,0.0185,0.9187
y_imp_next,cts_estmmse30,equal_width,5.0,24742,1494,0.8285,0.2407,0.0094,0.9293
y_imp_next,cts_estmmse30,equal_width,6.0,24742,1494,0.8338,0.2616,0.0041,0.931
y_imp_next,cts_estmmse30,equal_width,8.0,24742,1494,0.8349,0.2618,0.0029,0.9995
y_imp_next,cts_estmmse30,equal_width,10.0,24742,1494,0.8346,0.2609,0.0032,0.9995
y_imp_next,cts_estmmse30,equal_width,20.0,24742,1494,0.8354,0.2634,0.0025,0.9996
y_imp_next,cts_estmmse30,equal_width,50.0,24742,1494,0.8346,0.2632,0.0033,0.9998
y_imp_next,cts_estmmse30,quantile,4.0,24742,1494,0.8179,0.2045,0.02,0.9881
y_imp_next,cts_estmmse30,quantile,5.0,24742,1494,0.828,0.2116,0.0099,0.9983
y_imp_next,cts_estmmse30,quantile,6.0,24742,1494,0.828,0.2116,0.0099,0.9983
y_imp_next,cts_estmmse30,quantile,8.0,24742,1494,0.8352,0.2445,0.0027,0.9996
y_imp_next,cts_estmmse30,quantile,10.0,24742,1494,0.8352,0.2445,0.0027,0.9996
y_imp_next,cts_estmmse30,quantile,20.0,24742,1494,0.8367,0.2622,0.0012,0.9998
y_imp_next,cts_estmmse30,quantile,50.0,24742,1494,0.8367,0.2622,0.0012,0.9998
y_imp_next,bmi,raw_continuous,,22426,1241,0.5647,0.0697,0.0,1.0
y_imp_next,bmi,equal_width,4.0,22426,1241,0.5528,0.0655,0.0118,0.8285
y_imp_next,bmi,equal_width,5.0,22426,1241,0.5476,0.0633,0.017,0.8432
y_imp_next,bmi,equal_width,6.0,22426,1241,0.549,0.0633,0.0156,0.9063
y_imp_next,bmi,equal_width,8.0,22426,1241,0.561,0.0674,0.0036,0.9423
y_imp_next,bmi,equal_width,10.0,22426,1241,0.5516,0.0649,0.0131,0.9619
y_imp_next,bmi,equal_width,20.0,22426,1241,0.5537,0.0672,0.0109,0.99
y_imp_next,bmi,equal_width,50.0,22426,1241,0.5449,0.0643,0.0198,0.9984
y_imp_next,bmi,quantile,4.0,22426,1241,0.5502,0.0636,0.0144,0.9682
y_imp_next,bmi,quantile,5.0,22426,1241,0.5546,0.0652,0.0101,0.9798
y_imp_next,bmi,quantile,6.0,22426,1241,0.5569,0.0658,0.0078,0.986
y_imp_next,bmi,quantile,8.0,22426,1241,0.555,0.0649,0.0097,0.9922
y_imp_next,bmi,quantile,10.0,22426,1241,0.5565,0.0652,0.0081,0.995
y_imp_next,bmi,quantile,20.0,22426,1241,0.5492,0.0648,0.0155,0.9987
y_imp_next,bmi,quantile,50.0,22426,1241,0.5471,0.064,0.0176,0.9998
y_imp_next,sbp_avg,raw_continuous,,23271,1349,0.4935,0.0586,0.0,1.0
y_imp_next,sbp_avg,equal_width,4.0,23271,1349,0.4919,0.0566,0.0016,0.8005
y_imp_next,sbp_avg,equal_width,5.0,23271,1349,0.5151,0.0612,-0.0216,0.903
y_imp_next,sbp_avg,equal_width,6.0,23271,1349,0.4913,0.0582,0.0022,0.9126
y_imp_next,sbp_avg,equal_width,8.0,23271,1349,0.4995,0.0589,-0.006,0.9516
y_imp_next,sbp_avg,equal_width,10.0,23271,1349,0.5076,0.0612,-0.0141,0.9674
y_imp_next,sbp_avg,equal_width,20.0,23271,1349,0.5073,0.0615,-0.0138,0.9917
y_imp_next,sbp_avg,equal_width,50.0,23271,1349,0.4998,0.0592,-0.0063,0.9987
y_imp_next,sbp_avg,quantile,4.0,23271,1349,0.4926,0.0564,0.0009,0.9682
y_imp_next,sbp_avg,quantile,5.0,23271,1349,0.51,0.0594,-0.0165,0.9798
y_imp_next,sbp_avg,quantile,6.0,23271,1349,0.5036,0.0583,-0.0101,0.986
y_imp_next,sbp_avg,quantile,8.0,23271,1349,0.5008,0.0593,-0.0074,0.9922
y_imp_next,sbp_avg,quantile,10.0,23271,1349,0.5037,0.0595,-0.0102,0.995
y_imp_next,sbp_avg,quantile,20.0,23271,1349,0.5069,0.0603,-0.0134,0.9988
y_imp_next,sbp_avg,quantile,50.0,23271,1349,0.5015,0.0595,-0.0081,0.9998
