bin,share_pct,cutpoint_lo,cutpoint_hi
marked decline,25.00093106401996,-inf,-0.23205515538293853
mild decline,24.997206807940113,-0.23205515538293853,-0.04606301358425502
stable,25.00093106401996,-0.04606301358425502,0.12944156671446352
improved,25.00093106401996,0.12944156671446352,inf
