lifestyle,no_event_rate,dt_target,n,med,mean,med_over_true,mean_over_true,true_med,true_mean
True,5,gather,76208,1.2840520143508911,2.6214327812194824,1.1551724672317505,1.7248263359069824,1.111567419575633,1.5198241848562983
True,5,next_visit,75070,1.0458589792251587,1.3558824062347412,0.9408867359161377,0.8921310901641846,1.111567419575633,1.5198241848562983
True,5,next_event,72643,1.0978782176971436,1.4879411458969116,0.9876847863197327,0.9790219068527222,1.111567419575633,1.5198241848562983
True,0,gather,76208,2.7378509044647217,17.80228042602539,2.4630544185638428,11.71338176727295,1.111567419575633,1.5198241848562983
True,0,next_visit,74106,1.1115673780441284,2.8082118034362793,1.0,1.8477215766906738,1.111567419575633,1.5198241848562983
True,0,next_event,72644,1.1197810173034668,2.6886439323425293,1.0073891878128052,1.7690494060516357,1.111567419575633,1.5198241848562983
False,5,gather,76208,1.4318959712982178,3.0715038776397705,1.2881773710250854,2.0209600925445557,1.111567419575633,1.5198241848562983
False,5,next_visit,68692,1.0485968589782715,1.3097349405288696,0.9433497786521912,0.8617674112319946,1.111567419575633,1.5198241848562983
False,5,next_event,67785,1.1060917377471924,1.492741346359253,0.9950739741325378,0.9821802973747253,1.111567419575633,1.5198241848562983
False,0,gather,76208,57.549625396728516,39.109249114990234,51.77340316772461,25.732746124267578,1.111567419575633,1.5198241848562983
False,0,next_visit,67913,1.1143052577972412,4.206366062164307,1.0024631023406982,2.7676663398742676,1.111567419575633,1.5198241848562983
False,0,next_event,67813,1.12251877784729,4.230712890625,1.0098521709442139,2.7836856842041016,1.111567419575633,1.5198241848562983
