run,setting,loss_ce,loss_dt,frac_noev_input,frac_pad_input,frac_scored,frac_dropped_noev,med_dt_y,med_lam_ratio,med_p_noev,true_gap_med_y,true_gap_mean_y,true_gap_cv
L12E120H12_s42,rate=0,2.633552591005961,8.696947574615479,0.0,0.44874165076335876,0.8148428625520636,0.0,2.7159478664398193,1.0000944137573242,3.9269099943339825e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L12E120H12_s42,rate=2,2.9923627376556396,6.951115846633911,0.5038140880217786,0.2340630671506352,0.2788596815994076,0.6577934098482043,0.9965776801109314,1.0000276565551758,1.0570824088063091e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L12E120H12_s42,rate=5,2.6656141678492227,7.458316405614217,0.2954375,0.3194166666666667,0.4611240357536427,0.43409452675401006,1.3032169342041016,1.0000391006469727,1.5665889804949984e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L12E120H12_s42,rate=10,2.599362929662069,7.772572120030721,0.17531151107594936,0.36763251582278483,0.5889436234263821,0.27723043240284617,1.73579740524292,1.0000495910644531,2.0298795789130963e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L12E120H12_s42,rate=20,2.5579014221827188,8.024951060612997,0.09544719827586207,0.40651939655172414,0.6837948252383114,0.1608261461643214,2.0314853191375732,1.0000596046447754,2.450975625833962e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L12E120H12_s42,padding=random,2.663280963897705,7.472632312774659,0.2864644036519037,0.3341710372960373,0.4652553653155371,0.43023722261728936,1.3086926937103271,1.0000419616699219,1.6512551155756228e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L12E120H12_s42,padding=regular,2.62026926279068,7.365966534614563,0.25883017275615566,0.35336824861000793,0.48972228086674474,0.4002744563652765,1.3223819732666016,1.0000367164611816,1.4644419934484176e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,rate=0,2.707130551338196,8.829029242197672,0.0,0.44874165076335876,0.8148428625520636,0.0,2.7159478664398193,1.0000991821289062,3.998071770183742e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,rate=2,3.03888467947642,6.953876654307048,0.5038140880217786,0.2340630671506352,0.2788596815994076,0.6577934098482043,0.9965776801109314,1.0000462532043457,1.9776694898610003e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,rate=5,2.7086609601974487,7.459124803543091,0.2954375,0.3194166666666667,0.4611240357536427,0.43409452675401006,1.3032169342041016,1.0000596046447754,2.5225832359865308e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,rate=10,2.6499531666437783,7.7701958020528155,0.17531151107594936,0.36763251582278483,0.5889436234263821,0.27723043240284617,1.73579740524292,1.0000691413879395,2.896580917877145e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,rate=20,2.6161344051361084,8.01667308807373,0.09544719827586207,0.40651939655172414,0.6837948252383114,0.1608261461643214,2.0314853191375732,1.0000782012939453,3.2296113204211e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,padding=random,2.709848129749298,7.474067115783692,0.2864644036519037,0.3341710372960373,0.4652553653155371,0.43023722261728936,1.3086926937103271,1.0000619888305664,2.5877656298689544e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
L8E120H6_s42,padding=regular,2.663911020755768,7.364370894432068,0.25883017275615566,0.35336824861000793,0.48972228086674474,0.4002744563652765,1.3223819732666016,1.000053882598877,2.3203945602290332e-05,1.111567419575633,1.5198241848562983,0.7274407061847172
