target,variable,n,n_pos,auc_level4,auc_level4_plus_delta4,auc_gain,pr_auc_level4,pr_auc_level4_plus_delta4,auc_raw_level_and_delta,delta_cutpoints,level_cutpoints
y_ad_next,cogn_global,24391,855,0.8652,0.8935,0.0282,0.1242,0.1674,0.9286,"[-0.2092, -0.0359, 0.135]","[-0.1279, 0.2914, 0.6613]"
y_ad_next,cts_estmmse30,21929,795,0.85,0.8592,0.0092,0.1379,0.1433,0.8801,"[-1.0, 0.0, 1.0]","[27.0, 29.0, 30.0]"
y_imp_next,cogn_global,20993,1330,0.841,0.8463,0.0053,0.1978,0.2064,0.8885,"[-0.1921, -0.0271, 0.1392]","[-0.0891, 0.3085, 0.6665]"
y_imp_next,cts_estmmse30,20138,1259,0.8154,0.8487,0.0333,0.2076,0.2934,0.8664,"[-1.0, 0.0, 1.0]","[27.0, 29.0, 30.0]"
