from_state,normal 27-30,borderline 24-26,mild-mod 18-23,severe 0-17
normal 27-30,17648,1982,402,63
borderline 24-26,1507,1116,693,113
mild-mod 18-23,157,304,890,517
severe 0-17,5,8,128,1088
