quantile,abs_deviation_years
P25,0.01026694045170018
P50,0.04106776180693572
P75,0.1469883641341454
P90,0.32258726899385276
P95,0.40177960301162513
max,0.4989733059547774
pct<=15d,50.12106537530266
pct<=45d,70.94430992736078
pct<=91d,85.27037933817596
n,2478.0
